#,Product,Score,Tier,Clone Ease (1-5),Top Store,Store URL,Verified Rev/Mo,Active Ads,Countries,Source Cost,Sell Price,Margin,Consumable?,Startup Cost,1688 Search Term,Gap Summary
1,Ear Seeds,12/12,SHARK,5/5,NordicEase / ShopPurriva,nordicease.dk / shoppurriva.com,"$219K (Danish) / $69K (English)","191 / 3","2 / 2","$0.50-2","$39.99-49.99",92-96%,YES,$500-1K,耳穴压豆贴 / 耳穴贴,"NordicEase = DANISH ONLY. ShopPurriva = 4/10 UI + fake reviews. English market EMPTY. #1 opportunity"
2,Anti-Snoring Mouthpiece,11/12,DOLPHIN,4/5,Trevalisse,trevalisse.com,$358.8K,25,4,"$0.80-1.50",$39.99,96%,No,$300-800,防打鼾牙套 / 止鼾器,"$358K/mo with 4/10 UI + 25 ads. Beat with better branding. ZComfort is bigger but beatable"
3,Pheromone Perfume,11/12,DOLPHIN,4/5,Venom Scents,venomscent.com,$129.4K,"1,656",17,"$3-8","$40-60",88%,YES,$500-1.5K,费洛蒙香水,"1656 ads but emotional niche. Desiros is Italian only = clone for English. High repeat"
4,Tuning Fork Therapy,11/12,DOLPHIN,4/5,Tontherapyco,tontherapyco.com,Small (est),Low,1,"$5-8",$55,85-90%,No,$500-1.5K,音叉疗愈套装 / 铝合金音叉,"Almost ZERO competition. Sound healing + ASMR = triple trend. Insane margin $5→$55"
5,Testosterone Booster,11/12,DOLPHIN,3/5,PrimalStorm,primal-storm.com,$401.8K,2,—,"$3-7",$58,88-95%,YES,$1-3K,睾酮增强补充剂 / 男性保健胶囊,"$401K/mo with ONLY 2 ADS!!! Most efficient store found. Wide open for competition"
6,Scent Diffuser Necklace,11/12,DOLPHIN,5/5,No dominant store,—,Unverified,Low,—,"$1-3","$35-45",90-95%,YES,$300-800,香薰项链 / 精油扩香项链,"NO DTC brand at all. $1→$45 margin. Gift angle = year-round. TikTok viral"
7,Faith Jewelry,10/12,STRONG,4/5,Hope Rings,hoperings.com,$201.6K,"1,898",9,"$1-3","$29.95-39.99",93-95%,No,$300-800,不锈钢刻字戒指 / 感恩信仰戒指礼盒,"Hope Rings = 1.7/5 Trustpilot FRAUD. Easy beat on quality + trust"
8,Skin Tag Remover,10/12,STRONG,4/5,Vora (TagBuddy),tryyvora.com,Unverified,Medium,1,"$3-7",$39.98,70-80%,YES,$500-1K,疣赘去除器 / 皮肤标签去除笔,"Small niche leader. Before/after = TikTok gold. Refill bands = recurring"
9,Ice Face Roller,10/12,STRONG,5/5,Contour Cube,contourcube.com,Unverified,234,3,"$1-3","$30-40",90-95%,No,$300-600,冰球美容仪 / 面部冰敷器,"Established but beatable. $1 source → $35 sell. BeautyTok trending"
10,Bible Verse Jar,10/12,STRONG,5/5,God Is Above,godisabove.com,$150K est,"1,988",19,"$2-3",$38.99,92%,Partial,$200-500,圣经经文罐 / 木制格言卡片瓶,"1988 ads in 19 countries BUT only Christian. Quran/Buddhist/Gratitude = EMPTY"
11,Heatless Curling Rod,10/12,STRONG,4/5,Heatless Hair,heatlesshair.com,Unverified,Medium,1,"$1-3","$25-35",88-92%,No,$300-600,不伤发卷发器 / 海绵卷发棒,"Fragmented market. Before/after overnight curl = viral format"
12,Tinnitus Relief,10/12,STRONG,3/5,Seraphina,seraphina.com,Unverified,37,1,"$5-12","$40-60",80%,No,$500-1.5K,耳鸣缓解设备 / 耳鸣治疗仪,"37 ads doing $2.9K/day est. Desperation buy = high conversion. 15% of population"
13,Jawline Exerciser,10/12,STRONG,4/5,Jawliner,jawliner.com,Unverified,283,18,"$1-3","$30-50",90-95%,YES,$300-800,下颌训练器 / 面部锻炼器,"283 ads across 18 countries. Looksmaxxing trend. Silicone wears out = repeat"
14,Lash Lift Kit,10/12,STRONG,4/5,LuxeCosmetics,luxecosmetics.nl,Unverified,475,6,"$0.90-5",$43,85-92%,YES,$500-1K,睫毛翘烫套装,"475 ads DUTCH brand = clone for English. Kit refills every 6-8 uses"
15,Acupressure Slippers,10/12,STRONG,4/5,BYRIVER,byriver.com,Unverified,Low,1,"$2-5","$30-40",85-90%,No,$300-600,穴位按摩拖鞋 / 旋转按摩拖鞋,"No dominant DTC brand. Reaction videos = funny + health content"
16,Peeling Serum,10/12,STRONG,3/5,Anua (K-beauty),anua.us,Unverified,Medium,5+,"$4-5","$25-35",81-85%,YES,$500-1.5K,去角质精华液 / 果酸焕肤精华,"K-beauty leaders exist but no English DTC 'glass skin' brand"
17,Titanium Pan,10/12,STRONG,2/5,TitanioPuro,titaniopuro.it,Unverified,641,3,"$6-12",$108,81-86%,No,$1-3K,钛涂层铝煎锅 / 不粘钛合金锅,"Italian ONLY 641 ads. 3.0 Trustpilot. Clone for English. Higher AOV but higher source cost"
18,Magnetic Eyelashes,9/12,VALID,4/5,By Sabrina,eyelashesbysabrina.com,Unverified,Medium,1,"$1-3","$30-40",90%+,YES,$300-600,磁铁假睫毛套装 / 磁性假睫毛,"Fragmented market. $1→$35. Reusable 60x angle. Demo videos = viral"
19,Posture Corrector,9/12,VALID,3/5,PostureBacking,posturebacking.myshopify.com,Unverified,Low,1,"$3-8","$30-50",80-85%,No,$300-800,矫正带 / 背部姿势矫正器,"$1.5B market 8.1% CAGR. WFH driving demand. Need better brand than generics"
20,Lymphatic Face Brush,9/12,VALID,5/5,Lymphora,lymphora.no,$66K est,Low,1,"$0.50-3",$27,81-93%,No,$200-500,刮痧板 / 面部淋巴刷,"Norwegian small brand. Clone for English. Lymphatic drainage trending"
21,Mouth Tape for Sleep,12/12,SHARK,5/5,CoreLifeNaturals,corelifenaturals.com,$198K,—,—,"$0.30-1","$19.99-29.99",95%+,YES,$200-500,闭口呼吸贴 / 睡眠封口贴 / 防打鼾闭口贴,"$198K/mo generic branding. Hostage Tape $500K+ but premium. Room for $15-20 value brand. +1125% growth"
22,Tallow Cream / Beef Tallow Balm,12/12,SHARK,5/5,Sky&Sol,skyandsolbeauty.com,$277.6K,821,4,"$1-3","$29.99-39.99",90-95%,YES,$300-800,牛脂面霜 / 草饲牛油护肤膏,"$277K/mo + Le Skin Club $194K/mo. +8500% growth. Ancestral skincare EXPLODING. No branded leader"
23,GHK-Cu Copper Peptide Serum,11/12,DOLPHIN,4/5,No dominant store,—,Unverified,—,—,"$2-5","$39.99-54.99",90-95%,Semi,$500-1.5K,铜肽精华液 / GHK-Cu抗衰精华,"Only lab brands. +8900% growth. Bryan Johnson made peptides mainstream. The next retinol"
24,Grounding / Earthing Sheets,11/12,DOLPHIN,3/5,No dominant store,—,Unverified,—,—,"$8-15","$49.99-79.99",85-90%,No,$1-2K,接地床单 / 银纤维导电床单,"Grounding.com $200+ vs Amazon $30. Mid-market gap at $50-80. +7200% growth"
25,Organ Supplement (Beef Organ Capsules),11/12,DOLPHIN,2/5,Heart & Soil,heartandsoil.co,$931.8K,413,2,"$3-8","$39.99-54.99",85-90%,YES,$1-3K,冻干牛肝胶囊 / 牛器官营养胶囊,"$932K/mo MONSTER. Premium $50-75. Beat on PRICE $40. Ancestral health booming. +7400%"
26,Skin Flooding Serum Kit,11/12,DOLPHIN,5/5,No dominant store,—,Unverified,—,—,"$2-5","$34.99-44.99",90%+,YES,$500-1K,玻尿酸精华液套装 / 水光肌精华3件套,"#1 TikTok skincare trend. NOBODY owns 'skin flooding' as DTC brand. +8900% growth"
27,Magnesium Bisglycinate Gummies,10/12,STRONG,3/5,No dominant store,—,Unverified,—,—,"$3-7","$29.99-39.99",85-90%,YES,$1-3K,甘氨酸镁软糖 / 镁补充剂软糖,"Sleep/anxiety trend. +8100% growth. Getting competitive but subscription model wins"
28,Red Light Therapy Mask,10/12,STRONG,2/5,No dominant store,—,Unverified,—,—,"$10-25","$49.99-89.99",75-85%,No,$1-3K,LED红光面罩 / 光疗美容仪,"CurrentBody $300+ vs Amazon $30. Mid-market gap at $50-90. Not consumable"
29,Burger Smasher / Smash Burger Press,10/12,STRONG,4/5,No dominant store,—,Unverified,—,—,"$2-5","$24.99-34.99",88-92%,No,$300-800,铸铁汉堡压 / 不锈钢肉饼压,"+7700% growth. Smash burger TikTok billions of views. Recipe book angle"
30,AHA Deodorant (Acid-Based),10/12,STRONG,4/5,No dominant store,—,Unverified,—,—,"$1-3","$24.99-34.99",90-95%,YES,$300-800,果酸止汗露 / 天然除臭剂,"Kosas/Lume $18-22. Room for DTC challenger. Clean beauty trend. Consumable"
31,Pupsicle / Frozen Dog Treat Maker,10/12,STRONG,4/5,No dominant store,—,Unverified,—,—,"$2-5","$24.99-34.99",88-92%,YES (refills),$300-600,宠物冰棍模具 / 狗狗冷冻零食器,"Dogs eating frozen treats = engagement gold. +8700% growth. Refill mixes = subscription"
32,Perfume Dupe / Clone Fragrance Kit,10/12,STRONG,3/5,Oakcha,oakcha.com,$220.9K,213,7,"$3-8","$34.99-49.99",85-90%,YES,$500-1.5K,大牌同款香水 / 平替香水礼盒,"Oakcha $221K + ALT $212K + Dossier $1M+. Dupe culture MASSIVE. +6800% growth. Discovery kits win"
33,Weighted Vest for Walking,10/12,STRONG,2/5,No dominant store,—,Unverified,—,—,"$8-15","$49.99-69.99",80-85%,No,$1-2K,负重背心 / 训练加重背心,"Rucking trend. Amazon generics are ugly. Stylish women's vest = gap. Not consumable"
34,Castor Oil Pack (Wrap Kit),10/12,STRONG,4/5,No dominant store,—,Unverified,—,—,"$2-5","$29.99-39.99",90%+,YES,$300-800,蓖麻油敷包 / 法兰绒蓖麻油裹布,"Queen of Thrones $50+. Beat on price. Detox/fertility TikTok. Oil refills = repeat"
35,Collagen Stick for Dogs,10/12,STRONG,4/5,No dominant store,—,Unverified,—,—,"$1-3","$24.99-34.99",88-92%,YES,$300-800,胶原蛋白磨牙棒 / 宠物零食棒,"New category. +6600% growth. Pet wellness booming. Consumable treats"
36,Travel Sleep Mask (Weighted/Heated),10/12,STRONG,4/5,Manta Sleep,mantasleep.com,$168.7K,"1,450",16,"$2-5","$24.99-34.99",90%+,No,$300-600,加热遮光眼罩 / 3D立体睡眠眼罩,"$169K/mo 1450 ads 16 countries. Beat with SIMPLE weighted silk mask at $25. +9900% growth"
37,Height Growth Gummies,10/12,STRONG,2/5,TruHeight,truheight.com,$781.2K,—,—,"$3-7","$34.99-44.99",85-90%,YES,$1-2K,增高营养软糖 / 骨骼营养软糖,"$781K/mo MASSIVE. Target PARENTS not teens. Bone density angle for adults. Regulatory gray"
38,Matcha Perfume / Green Tea Fragrance,9/12,VALID,3/5,No dominant store,—,Unverified,—,—,"$3-8","$34.99-49.99",85-90%,YES,$500-1K,抹茶香水 / 日式绿茶淡香水,"Nobody owns 'matcha perfume'. Zen aesthetic. +7200% growth. Niche within niche"
39,Senolytic / Longevity Supplement,9/12,VALID,2/5,No dominant store,—,Unverified,—,—,"$5-10","$44.99-59.99",82-88%,YES,$2-4K,白藜芦醇胶囊 / NMN抗衰胶囊,"DoNotAge/Elysium premium $60-100+. Room for affordable branded option. Bryan Johnson wave"
40,Mason Jar Vacuum Sealer,9/12,VALID,3/5,No dominant store,—,Unverified,—,—,"$5-10","$29.99-39.99",80-85%,No,$500-1K,梅森罐真空密封器 / 食品真空封口机,"Homestead + meal prep trend. FoodSaver is big brand. Niche mason jar angle"
41,Wooden Utensil Set (Eco Kitchen),9/12,VALID,3/5,No dominant store,—,Unverified,—,—,"$3-8","$29.99-39.99",85-90%,No,$300-600,木质厨具套装 / 榉木烹饪勺套装,"Aesthetic kitchen trend. +9900% growth. Amazon competitive. Need strong branding"
42,Red Light Eye Therapy Device,9/12,VALID,2/5,No dominant store,—,Unverified,—,—,"$8-15","$39.99-59.99",75-85%,No,$1-2K,红光护眼仪 / LED红光眼部按摩仪,"Screen fatigue epidemic. Category just forming. Higher source cost. Regulatory"
43,Urolithin A Supplement,9/12,VALID,2/5,No dominant store,—,Unverified,—,—,"$5-12","$49.99-69.99",78-85%,YES,$2-4K,尿石素A胶囊 / 石榴提取物线粒体胶囊,"Timeline/Mitopure dominates at $64/mo. Room for affordable alt. 60.5K vol/mo"
44,Sink Splash Guard,9/12,VALID,5/5,No dominant store,—,Unverified,—,—,"$0.50-2","$14.99-19.99",92%+,Semi,$200-400,水龙头防溅垫 / 硅胶厨房挡水板,"Only Amazon generics. $0.50→$15 margin. Low emotional trigger but easy to execute"
45,Magnesium L-Threonate (Brain Mag),9/12,VALID,2/5,No dominant store,—,Unverified,—,—,"$5-10","$34.99-49.99",80-85%,YES,$1-3K,L-苏糖酸镁胶囊 / 脑部营养镁补充剂,"Magtein patent. Brain fog/focus. 165K vol/mo. Amazon competitive. Need brand story"
46,Mushroom Coffee Blend,8/12,NICHE,2/5,RYZE Superfoods,rfrize.com,$200K,429,1,"$3-7","$29.99-39.99",85%,YES,$1-3K,灵芝咖啡粉 / 蘑菇咖啡混合粉,"$200K/mo but ONLY 1 country. Beat by launching UK/AU/CA. Established competitors (MUD\WTR)"
47,Sea Moss Gel,8/12,NICHE,3/5,No dominant store,—,Unverified,—,—,"$2-5","$29.99-34.99",88%,YES,$500-1K,海苔凝胶 / 爱尔兰苔藓凝胶,"92 minerals superfood. Amazon-heavy. Needs cold chain. TikTok trending"
48,Tongue Scraper,8/12,NICHE,4/5,No dominant store,—,Unverified,—,—,"$0.50-2","$14.99-19.99",92%,No,$200-400,铜舌苔刮刀 / 不锈钢刮舌器,"Low price point. Amazon saturated. Ayurvedic angle for DTC. Easy to source"
49,Belly Button Oil (Nabhi Chikitsa),8/12,NICHE,4/5,No dominant store,—,Unverified,—,—,"$1-3","$24.99-29.99",90%,YES,$300-500,肚脐精油 / 肚脐按摩油,"TikTok trending. Ayurvedic healing. Niche but passionate audience. Skepticism exists"
50,Nasal Dilator / Breathing Strip,8/12,NICHE,4/5,No dominant store,—,Unverified,—,—,"$1-3","$19.99-29.99",90%,No,$300-500,鼻腔扩张器 / 硅胶通气鼻夹,"Better breathing. Competes with Breathe Right. Reusable angle. Sleep connection"
51,Red Light Pain Therapy Pad,10/12,STRONG,2/5,NovaaLab,novaalab.com,$929K,422,2,"$10-20","$49.99-89.99",78-85%,No,$1-3K,红光理疗垫 / 红外线止痛仪,"$929K/mo with ONLY 2 countries! Beat with emotional UGC vs clinical branding. Source >$5"
52,Tooth Remineralization Powder,11/12,DOLPHIN,4/5,BBOJI + Underbrush,nathanandsons.com,"$307K + $226K","480 / 54","15 / 1","$1-3","$34.99-44.99",92-95%,YES,$500-1K,牙齿矿化粉 / 珍珠牙粉 / 口腔修复粉,"TWO stores $200K+! Powder cheap to ship. Underbrush 54 ads in 1 country = MASSIVE scaling potential"
53,Astaxanthin Supplement,11/12,DOLPHIN,3/5,Rovina (Susan's Wellness),Advertorial — no direct store,$311K,—,—,"$3-7","$39.99-49.99",85-90%,YES,$1-2K,虾青素胶囊 / 天然虾青素12mg,"$311K/mo with generic branding = massive upside for real DTC brand. Consumable"
54,TECA Anti-Aging Cream,10/12,STRONG,4/5,NeuroGlow Wellness,Advertorial — no direct store,$312K,—,—,"$2-5","$39.99-54.99",90-95%,YES,$500-1.5K,积雪草面霜 / TECA修复面霜 / 抗衰面霜,"$312K/mo. Beat with K-beauty packaging + UGC. Women 35-55 = proven Meta audience. Cheap to source"
55,Vertigo/Dizziness Relief Supplement,11/12,DOLPHIN,3/5,Brizo,Advertorial — no direct store,$309K,60,5,"$3-7","$39.99-49.99",85-90%,YES,$1-2K,眩晕保健品 / 耳石症营养胶囊,"$309K/mo with 60 ads! NOBODY else in niche. Older demo = high LTV. Consumable"
56,Portable Neck & Shoulder Massager,9/12,VALID,3/5,Asgord,asgord.com,$286K,21,3,"$8-15","$49.99-69.99",78-85%,No,$1-2K,颈肩按摩器 / 电动颈部揉捏按摩仪,"$286K/mo with ONLY 21 ads! Insane efficiency. Couples/gift angle. Source >$5"
57,Hair Volume Spray/Powder,9/12,VALID,3/5,MHE Boost,mhelifestyle.co,$821K,283,17,"$2-5","$34.99-44.99",90%+,YES,$500-1K,头发增发粉 / 蓬松发量喷雾,"$821K/mo store but hair is secondary product. NOBODY owns dedicated hair volume DTC. TikTok before/after"
58,Blood Pressure Supplement,10/12,STRONG,2/5,Steven Finnigan page,Advertorial — no direct store,$777K,72,18,"$3-7","$39.99-54.99",85-90%,YES,$1-3K,降血压保健品 / 辅酶Q10心脏保健胶囊,"$777K/mo with 72 ads 18 countries! Beat with cleaner DTC. 60+ demo = money. Regulatory risk"
59,Nerve Pain / Neuropathy Supplement,10/12,STRONG,2/5,Dr. Allison M. Blake page,Advertorial — no direct store,$340K,66,4,"$3-7","$44.99-59.99",85-90%,YES,$1-3K,神经痛保健品 / 周围神经修复营养素,"$340K/mo. Pain = #1 purchase motivator. Alt to gabapentin. Regulatory — can't claim to replace Rx"
60,Blood Sugar / Diabetes Supplement,10/12,STRONG,3/5,Natural Wellness Daily,Advertorial — no direct store,$198K,177,17,"$3-7","$39.99-49.99",85-90%,YES,$1-2K,血糖控制保健品 / 苦瓜铬胶囊,"$198K/mo 17 countries. 37M Americans with diabetes. Lifetime customers. Beat with DTC + A1C angle"
61,Cat Health Supplement,9/12,VALID,3/5,Feline Health Institute,Advertorial — no direct store,$438K,—,—,"$2-5","$29.99-39.99",88-92%,YES,$500-1.5K,猫咪益生菌 / 宠物免疫保健品,"$438K/mo MASSIVE for pets. Fear-based advertorial. Beat with vet-endorsed brand. Pet owners spend irrationally"
62,Couples Massager Device (16-Head),8/12,NICHE,2/5,Healthism Life,healthism-life.com,$222K,310,18,"$8-15","$49.99-69.99",75-85%,No,$1-2K,多头按摩器 / 电动全身按摩仪,"310 ads 18 countries. Gift angle. Source >$5 not consumable. Higher barrier"
63,Natural Hair Inhibitor Spray,10/12,STRONG,5/5,Caramela Beauty,official-velora.com,$378K,8,2,"$1-3","$29.99-39.99",92-95%,YES,$500-1K,抑毛喷雾 / 天然脱毛抑制剂,"$378K/mo with ONLY 8 ADS in 2 countries!!! Barely scaled. Women's beauty = huge TAM. Consumable"
64,Men's Vitality Spray,8/12,NICHE,1/5,MHE Supplements (TadalaPro),mhelifestyle.co,$821K,283,17,"$2-5",$49.99,90%+,YES,$1-3K,男性活力喷雾 / 口腔吸收增强喷雾,"$821K/mo MONSTER but regulatory MINEFIELD. Natural alternative (tongkat ali + maca) safer play"
65,Oral Health Probiotic Lozenge,11/12,DOLPHIN,4/5,ODALIT (Dr. Jorgensen),Advertorial — no direct store,$307K,480,15,"$2-5","$34.99-44.99",88-92%,YES,$500-1.5K,口腔益生菌含片 / 牙龈修复含片,"Post-ProDentim market educated but brand-less. Oral probiotic EXPLODING on TikTok. Consumable"
66,Ultrasonic Pest Repeller,9/12,VALID,4/5,Brezani,brezani.com,$124K,3,1,"$3-8","$34.99-49.99",85-90%,No,$500-1K,超声波驱虫器 / 电子驱鼠器,"$124K/mo with ONLY 3 ADS in 1 country! Every homeowner needs it. Multi-pack upsell"
67,Wool Pressing Mat (Sewing),8/12,NICHE,3/5,Love Sew,love-sew.com,$77K,118,5,"$5-10","$34.99-49.99",75-85%,No,$500-1K,羊毛烫布垫 / 熨烫毡垫,"Niche sewing community. Loyal + repeat buyers. Below $150K. Passionate audience"
68,IBS / Gut Bloating Supplement,10/12,STRONG,3/5,Aaliyah Jackson page,Advertorial — no direct store,$149K,434,18,"$3-7","$39.99-49.99",85-90%,YES,$1-2K,肠易激综合征益生菌 / 消胀气胶囊,"$149K/mo 18 countries. 25-45M Americans with IBS. Extreme urgency. Beat with gastro-endorsed brand"
69,Men's Health Combo Stack,10/12,STRONG,3/5,Dr. Michael Carter page,Advertorial — no direct store,$319K,36,13,"$5-10","$49.99-64.99",82-88%,YES,$1-3K,男性综合保健胶囊 / 鹿茸玛卡胶囊,"$319K/mo with ONLY 36 ads 13 countries. Combo = higher AOV. Men's health EXPLODING"
70,Vibration Plate,7/12,NICHE,1/5,Power Plate,powerplate.com,"$4,550K","2,185",2,"$30-80","$149-299",60-75%,No,$3-5K,振动平台 / 全身震动健身机,"$4.5M/mo PROVES insane demand. Budget DTC $99-149 wide open. Heavy shipping. Not consumable"
