Rank,Product,Score,Store #,Store Name,Store URL,Rev/Day,Rev/Month,Rev/Year Est,Active Ads,Countries,Days Running,Product Price,Est Product Rev,Data Source,Threat Level,Beatable?,Notes
1,Ear Seeds,12/12,1,ShopPurriva,shoppurriva.com,"$2,310","$69,300","$831,600",3,2,,,$24.99,,WH Verified,LOW,YES — EASY KILL,"Bad UI 4/10, fake 137K reviews, test store quality"
1,Ear Seeds,12/12,2,NordicEase,nordicease.dk,,"$219,000","$2,628,000",191,2,,,DKK 399 (~$58),,WH Verified,NONE in English,CLONE for English,"DANISH ONLY, 8/10 UI, clean branding — model to clone"
1,Ear Seeds,12/12,3,Auricle Ear Seeds,auricleearseeds.com,,,,Low,1,,,,,Web Research,LOW,Study messaging,"Small DTC brand, clean branding, no paid ads visible"
2,Anti-Snoring Mouthpiece,11/12,1,Trevalisse,trevalisse.com,"$11,960","$358,800","$4,305,600",25,4,37,$39.99,,WH Verified,MEDIUM,YES — EASY KILL,"4/10 UI, copied theme, but $12K/day revenue proves demand"
2,Anti-Snoring Mouthpiece,11/12,2,ZComfort,zcomfort.co,,,"","542",14,171,$39.99,"$317,800",WH Verified,HIGH,Hard — big operation,"14 countries, 542 ads, $317.8K product rev, 171 days running"
2,Anti-Snoring Mouthpiece,11/12,3,Good Morning Snore Solution,goodmorningsnoresolution.com,,,,Low,1,,,,,Web Research,LOW,Study authority angle,"Established brand, premium positioning, not DTC aggressive"
3,Pheromone Perfume,11/12,1,Venom Scents,venomscent.com,"$4,312","$129,360","$1,552,320","1,656",17,242,,,WH Verified,HIGH,Compete on angle,"#1 REAL player — 1656 ads, 17 countries, 242 days. Replaced Natasha Scents"
3,Pheromone Perfume,11/12,2,Desiros,desiros.me,"$3,245","$97,350","$1,168,200",465,4,130,€59.99,"$111,000",WH Verified,MEDIUM,YES — Italian only,"ITALIAN ONLY ads, €59.99 price, clone for English market"
3,Pheromone Perfume,11/12,3,Natasha Scents,natashaknowsscents.com,,,,0,0,,,,,WH — NOT FOUND,UNKNOWN,GHOST STORE,"NOT found on WinningHunter — zero active ads, ghost store mystery"
4,Tuning Fork Therapy,11/12,1,Tontherapyco,tontherapyco.com,,,,Low,1,,,$55,,Web Research,LOW,YES — small store,"Small Shopify store, $55/set, 85-90% margin, low competition"
4,Tuning Fork Therapy,11/12,2,Biofield Tuning Store,biofieldtuningstore.com,,,,Low,1,,,,,Web Research,LOW,Study model,"Premium tuning forks + training courses, established practitioner brand"
4,Tuning Fork Therapy,11/12,3,Sacred Waves,sacredwaves.com,,,,Low,1,,,,,Web Research,LOW,Practitioner niche,"Tuning forks + sound healing tools, practitioner-focused"
5,Testosterone Booster,11/12,1,PrimalStorm,primal-storm.com,"$13,392","$401,760","$4,821,120",2,,,,$58,,WH Verified,LOW,YES — WIDE OPEN,"$13.4K/day with ONLY 2 ADS — insane efficiency, massive gap for competition"
5,Testosterone Booster,11/12,2,Nugenix,nugenix.com,,,"$100M+",High,1,,,,,Web Research,HIGH (retail),No — different market,"Established T-booster, heavy TV/radio ads, retail distribution"
5,Testosterone Booster,11/12,3,TestoPrime,testoprime.com,,,"$20M+",High,10+,,,,,Web Research,HIGH,Study SEO/content,"DTC supplement brand, strong SEO + content marketing"
6,Scent Diffuser Necklace,11/12,1,Stimm Jewelry,stimm.jewelry,,,,Low,1,,,,,Web Research,LOW,Study branding,"Aromatherapy diffuser pendant, clean modern branding"
6,Scent Diffuser Necklace,11/12,2,Drops of Joy Jewelry,dropsofjoyjewelry.com,,,,Low,1,,,,,Web Research,LOW,Established niche,"Essential oil diffuser pendants + bracelets, established small brand"
6,Scent Diffuser Necklace,11/12,3,Your Oil Tools,youroiltools.com,,,,Low,1,,,,,Web Research,LOW,Study product line,"Aroma necklaces + lava bead jewelry, Shopify store"
7,Faith Jewelry,10/12,1,Hope Rings,hoperings.com,"$6,720","$201,600","$2,419,200","1,898",9,887,$29.95,"$9,200",WH Verified,MEDIUM,YES — FRAUD store,"1.7/5 Trustpilot, 887 days running = old scam store. EASY BEAT on quality/trust"
7,Faith Jewelry,10/12,2,Worthy Always,worthyalways.com,"$2,870","$86,100","$1,033,200",439,17,193,$39.99,"$197,400",WH Verified,MEDIUM,YES — needs UGC,"439 ads, 17 countries, $197.4K product rev. Beatable with better content"
7,Faith Jewelry,10/12,3,Shield of Faith,shieldoffaithjewelry.com,,,,Low,1,,,,,Web Research,LOW,Small niche player,"Faith jewelry niche, smaller operation"
8,Skin Tag Remover,10/12,1,Vora (TagBuddy),tryyvora.com,,,,Medium,1,,,$39.98,,Web Research,MEDIUM,Study branding,"$39.98, strong branding, Shopify DTC leader in niche"
8,Skin Tag Remover,10/12,2,TagBand,shoptagband.com,,,,Low,1,,,,,Web Research,LOW,UK focused,"UK-based, original rubber band method, Shopify store"
8,Skin Tag Remover,10/12,3,Aliver,aliver.com,,,,Low,1,,,,,Web Research,LOW,Study product,"Auto tag remover device, beauty DTC store"
9,Ice Face Roller,10/12,1,Contour Cube,contourcube.com,,,,234,3,487,,,WH Verified,MEDIUM,Established but beatable,"234 ads, 3 countries, 487 days — established. TikTok famous"
9,Ice Face Roller,10/12,2,Skin Gym,skingymco.com,,,,Medium,1,,,,,Web Research,MEDIUM,Established tools brand,"CryoRoll ice facial, established beauty tools brand"
9,Ice Face Roller,10/12,3,TIMEBEAM,timebeam.com,,,,Low,1,,,,,Web Research,LOW,Tech angle,"Ice Baby Cryo Facial Roller, advanced cooling tech"
10,Bible Verse Jar,10/12,1,God Is Above,godisabove.com,,"$150,000 est","$1,800,000 est","1,988",19,570,$38.99,"$121,900",WH Verified,HIGH,Expand to other religions,"1988 ads, 19 countries, 570 DAYS running. 4.1/5 Trustpilot. Massive but single-religion"
10,Bible Verse Jar,10/12,2,Daily Grace Co,thedailygraceco.com,,,,Low,1,,,,,Web Research,LOW,Community brand,"Faith devotionals + gifts, strong community, not DTC aggressive"
10,Bible Verse Jar,10/12,3,Dayspring,dayspring.com,,,,Low,1,,,,,Web Research,LOW,Retail heavy,"Christian gifts + cards, established but retail-heavy, not DTC"
11,Heatless Curling Rod,10/12,1,Heatless Hair,heatlesshair.com,,,,Medium,1,,,,,Web Research,MEDIUM,Study DTC model,"The Curling Ribbon, strong DTC brand, Shopify"
11,Heatless Curling Rod,10/12,2,Mane Label Hair Co,manelabelhairco.com,,,,Medium,1,,,,,Web Research,MEDIUM,Growing DTC,"The Sway Heatless Curling Ribbon, Shopify DTC"
11,Heatless Curling Rod,10/12,3,Silknlove,silknloveco.com,,,,Low,1,,,,,Web Research,LOW,Premium play,"Pure silk heatless curler, premium positioning"
12,Tinnitus Relief,10/12,1,Seraphina,seraphina.com,,,,37,1,,,$49,,WH — Domain mismatch,MEDIUM,Study efficiency,"$2.9K/day est, ONLY 37 ads — insane efficiency if real"
12,Tinnitus Relief,10/12,2,Lenire,lenire.com,,,,N/A,1,,,,,Web Research,NONE,Different market,"Bimodal neuromodulation, FDA-cleared, $3K+ medical device"
12,Tinnitus Relief,10/12,3,Sound Oasis,soundoasis.com,,,,Low,1,,,,,Web Research,LOW,Established brand,"Tinnitus sound therapy system, established brand"
13,Jawline Exerciser,10/12,1,Jawliner,jawliner.com,,,,283,18,295,,$10,300,WH Verified,MEDIUM,Compete on price/brand,"283 ads, 18 countries, 295 days running, since 2018. Strong brand"
13,Jawline Exerciser,10/12,2,Jawzrsize,jawzrsize.com,,,,High,5+,,,,,Web Research,HIGH,Hard — OG brand,"#1 jaw exerciser, established DTC, Amazon + own site"
13,Jawline Exerciser,10/12,3,Chisell,chisell.eu,,,,Low,1,,,,,Web Research,LOW,EU niche,"EU-based jaw muscle growth technology, Shopify"
14,Lash Lift Kit,10/12,1,LuxeCosmetics,luxecosmetics.nl,,,"","475",6,138,$43,"$325,700",WH Verified,MEDIUM,CLONE for English,"475 ads, 6 countries, $325.7K product rev — DUTCH brand, clone for English"
14,Lash Lift Kit,10/12,2,Lash Stuff,lashstuff.com,,,,Low,1,,,,,Web Research,LOW,SEO/education play,"Lash lift + perm kits, strong SEO + education content"
14,Lash Lift Kit,10/12,3,Brow Lamination,browlaminationkit.com,,,,Low,1,,,,,Web Research,LOW,DTC Shopify,"Brow + lash lift kits, DTC Shopify"
15,Acupressure Slippers,10/12,1,BYRIVER,byriver.com,,,,Low,1,,,,,Web Research,MEDIUM,Amazon #1,"DTC Shopify + Amazon #1 in acupressure slippers"
15,Acupressure Slippers,10/12,2,Holalifes,holalifes.com,,,,Low,1,,,,,Web Research,LOW,DTC brand,"Acupressure reflexology slippers, Shopify DTC"
15,Acupressure Slippers,10/12,3,AcuWarehouse,acuwarehouse.com,,,,Low,1,,,,,Web Research,LOW,Shopify store,"Rotating acupressure foot massage slippers"
16,Peeling Serum,10/12,1,Anua,anua.us,,,,Medium,5+,,,,,Web Research,HIGH,K-beauty leader,"Heartleaf quercetinol, K-beauty DTC leader, Shopify + Sephora"
16,Peeling Serum,10/12,2,Kaja Beauty,kajabeauty.com,,,,Medium,1,,,,,Web Research,MEDIUM,Sephora distribution,"K-beauty skincare, Shopify DTC + Sephora"
16,Peeling Serum,10/12,3,Truly Beauty,trulybeauty.com,,,,High,1,,,,,Web Research,MEDIUM,TikTok presence,"Glass skin products, strong TikTok presence, Shopify"
17,Titanium Pan,10/12,1,TitanioPuro,titaniopuro.it,,,,641,3,130,$108,"$178,300",WH Verified,MEDIUM,CLONE for English,"641 ads, 3 countries, $178.3K product rev — ITALIAN ONLY, 3.0 Trustpilot"
17,Titanium Pan,10/12,2,HexClad,hexclad.com,,,"$100M+",High,5+,,,,,Web Research,HIGH (retail),No — premium brand,"Gordon Ramsay endorsed, hybrid cookware, premium positioning"
17,Titanium Pan,10/12,3,Our Place,ourplace.com,,,"$50M+",High,5+,,,,,Web Research,HIGH,Study viral model,"Always Pan viral success, DTC kitchen brand"
18,Magnetic Eyelashes,9/12,1,By Sabrina,eyelashesbysabrina.com,,,,Medium,1,,,,,Web Research,MEDIUM,Study tech,"Magnetic lash technology, 7+14 pair kits, Shopify"
18,Magnetic Eyelashes,9/12,2,Sara Lashes,getsaralashes.com,,,,Medium,1,,,,,Web Research,MEDIUM,Reusable angle,"Reusable 60x, instant application, Shopify DTC"
18,Magnetic Eyelashes,9/12,3,MyLash,magneticlashs.myshopify.com,,,,Low,1,,,,,Web Research,LOW,Basic store,"#1 Rated Kit claim, basic Shopify store"
19,Posture Corrector,9/12,1,PostureBacking,posturebacking.myshopify.com,,,,Low,1,,,,,Web Research,LOW,YES,"Adjustable upper back brace, basic Shopify DTC"
19,Posture Corrector,9/12,2,Corrector Body,correctorbody.com,,,,Low,1,,,,,Web Research,LOW,Study content,"DTC posture corrector brand, blog + authority content"
19,Posture Corrector,9/12,3,YBPR,yourbackpainrelief.com,,,,Low,1,,,,,Web Research,LOW,Shopify store,"Your Back Pain Relief, posture corrector collection"
20,Lymphatic Face Brush,9/12,1,Lymphora,lymphora.no,"$2,200 est","$66,000 est","$792,000 est",Low,1,,,,,Web Research + Est,LOW,CLONE for English,"Norwegian, small operation — clone for English market"
20,Lymphatic Face Brush,9/12,2,The Lymphatic Brush,thelymphaticbrush.com,,,,Low,1,,,,,Web Research,LOW,Practitioner brand,"By Cecily Braden, sustainable spa solution"
20,Lymphatic Face Brush,9/12,3,Skin Control,skincontrol.com,,,,Low,1,,,,,Web Research,LOW,DTC tools,"Ice facial roller + lymphatic tools, Shopify DTC"
